year,State,Vehicles Weighed (Fixed platform Scale),Vehicles Weighed (WIM Scale),Vehicles Weighed (Portable Scale),Vehicles Weighed (Semi-portable Scale),oversize_violation_current_year,overweight_violation_current_year,non_divisible_trip_permits,non_divisible_annual_permits,divisible_trip_permits,divisible_annual_permits
2020,DC,0,61875578,130,0,1,64,0,0,1750,2039
2020,DE,21633,384196,416,0,56,520,43057,9,99025,0
2020,FL,4864816,13645605,13485,142,8655,36436,75968,23136,305,4857
2020,GA,73663,29977977,2303,0,90,12132,149792,36028,58,206
2020,HI,15532,80564,0,681,0,242,2156,21,0,0
2020,IA,258630,168371,2075,0,168,736,103871,21661,1231,464
2020,ID,1375737,1432090,12481,0,94,1223,7283,3239,1,9202
2020,IL,854268,7771037,4677,15427,0,523,131807,1915,0,0
2020,IN,152249,1823683,983,0,19,2973,220568,3392,157294,1717
2020,KS,549185,2038310,5268,0,541,3816,75827,6235,0,0
2020,KY,67398,3735175,2200,1662,964,917,83551,5356,1194,1031
2020,LA,942948,10715173,7968,0,415,10683,94106,1866,0,13342
2020,MA,,,2604,62462,356,3252,48387,1836,0,23650
2020,MD,630671,18341488,2086,0,192,7850,54850,4894,0,0
2020,ME,47986,1114023,886,0,55,617,11840,146,0,0
2020,MI,5279,2540000,3197,0,415,3735,84114,11380,0,66
2020,MN,1413245,3089,859,0,72,3550,32308,2754,0,9342
2020,MO,1009702,2826569,929,0,772,7733,143877,6200,5,799
2020,MS,4876200,1920000,19875,3218,630,9738,134738,2124,0,13111
2020,MT,528921,676918,6677,0,357,849,14457,1669,1538,250
2020,NC,3399841,4001936,20332,1748,860,13401,109232,15326,0,0
2020,ND,23483,16515,837,38,10,1134,127802,4052,1265,6074
2020,NE,1084575,7767898,7968,0,136,620,109208,2379,0,19947
2020,NH,831,156927,856,2051,96,1011,24807,,,13817
2020,NJ,291495,291457,6915,121,111,6427,104313,4464,2,0
2020,NM,2639484,684053,24087,818,0,27,91494,11268,240459,0
2020,NV,2,21951,302,0,82,112,13630,3205,6,2063
2020,NY,0,9129,57404,16714,641,8826,213649,5484,16,32453
2020,OH,2222226,720157,2334,0,389,2185,229224,7181,62657,1097
2020,OK,2304971,4205673,2046,15,856,15184,69118,3134,3159,1876
2020,OR,1759824,2126421,2812,,610,11485,109482,70445,0,167616
2020,PA,9777,253764,1695,0,449,1074,289031,1689,1,1982
2020,RI,381,693,472,0,10,192,8105,249,0,6230
2020,SC,118622,1104218,2403,0,1386,4838,57081,12993,0,0
2020,SD,378012,731608,642,0,427,1161,59108,3893,372,9368
2020,TN,743004,4098925,0,147,668,43,131546,7080,0,0
2020,TX,61736,403406,9580,2296,1077,18321,314765,41902,94998,61550
2020,UT,6398603,7738373,1657,0,65,3882,38155,6606,2640,14438
2020,VA,3885742,14060332,8202,0,105,25389,56648,12667,0,0
2020,VT,2927,630,146,0,11,126,11633,2076,100,36
2020,WA,1124692,8705448,2191,0,1686,4868,88639,4238,0,2901
2020,WI,168354,802822,1204,0,618,4998,24936,6777,0,5435
2020,WV,170609,93455,295,0,55,280,60733,2054,0,0
2020,WY,421604,2349179,172,0,384,2667,50943,741,409,1821
2019,AK,64718,1543581,208,0,38,675,4764,236,0,0
2019,AL,102114,1112679,86735,0,883,245,140887,10915,0,0
2019,AR,330150,3782009,13574,433,1391,5791,161794,0,0,350
2019,AZ,2006796,9907833,594,2652,36,1039,64487,1540,11,1600
2019,CA,4113051,2185679,8378,86,9331,19592,154137,18798,0,0
2019,CO,1098284,1204958,,33385,1093,4839,39886,10944,68,12342
2019,CT,237899,318106,843,0,0,4241,90251,0,0,2168
2019,DC,0,1530228,680,0,3,33,0,0,1980,2428
2019,DE,6459,283214,567,,67,876,44936,10,103703,0
2019,FL,5825716,15740235,35747,1319,12412,46349,41956,11941,76,20380
2019,GA,983517,17322183,10664,0,23,22727,163741,23254,37,183
2019,HI,24325,111771,31,4458,0,591,2994,89,0,0
2019,IA,464799,343667,3209,0,236,5325,111137,21998,0,466
2019,ID,1594687,1844704,11875,0,514,6153,12624,4750,0,29096
2019,IL,1057241,10367332,7161,21668,0,776,137700,1857,0,0
2019,IN,173744,2381695,2249,0,514,6048,226257,3572,173784,2335
2019,KS,671845,2213020,7310,0,205,7477,83226,7178,0,0
2019,KY,100912,3451834,2452,2273,1382,906,98239,5506,961,1126
2019,LA,601242,11616777,8414,0,545,16447,123528,1811,0,13125
2019,MA,0,0,23408,48867,182,3432,42961,1812,0,21560
2019,MD,938832,14293500,2728,0,792,11658,134581,2328,0,376
2019,ME,28220,1376366,972,0,60,933,9533,118,0,0
2019,MI,6155,2454000,3714,0,457,5002,88260,23550,0,64
2019,MN,1423847,16889,12074,0,405,5229,32747,2755,0,9315
2019,MO,1129913,11922732,1098,0,854,11052,69495,307,0,0
2019,MS,5355303,3750321,42300,5380,790,11829,96676,2190,0,13111
2019,MT,419049,527558,7924,0,672,989,16855,1329,2899,300
2019,NC,3468745,4667938,25745,1504,860,16311,118230,15698,0,0
2019,ND,888,172,783,1616,13,948,159822,4468,1426,6112
2019,NE,1243104,2937851,11505,0,9021,4874,56547,2209,,23317
